,Ana Pinzon Dep 1:RASI,,Ana Pinzon Dep 1:RPSI,,Ana Pinzon Dep 1:RTHI,,Ana Pinzon Dep 1:RKNE,,Ana Pinzon Dep 1:RTIB,,Ana Pinzon Dep 1:RANK,,Ana Pinzon Dep 1:RHEE,,Ana Pinzon Dep 1:RTOE,
Frame,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z,X,Z
,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
63,-186.642792,1277.296143,-387.566925,1282.003784,-244.551376,969.546692,-268.979309,811.447144,-315.098145,618.251831,-342.61026,423.78183,-395.404083,390.514496,-183.905548,379.903809
64,-186.367218,1277.161133,-387.284363,1282.293335,-244.429382,969.514221,-268.771484,811.430298,-314.953583,618.246277,-342.60257,423.80423,-395.411285,390.513977,-183.90538,379.88092
65,-186.04628,1277.013428,-386.953674,1282.610718,-244.301987,969.481995,-268.573883,811.409729,-314.816833,618.246033,-342.597656,423.827484,-395.417755,390.514648,-183.904129,379.85849
66,-185.679108,1276.854248,-386.574371,1282.953003,-244.166855,969.449768,-268.384735,811.385498,-314.686951,618.250732,-342.595154,423.851501,-395.423523,390.516357,-183.902786,379.8396
67,-185.264999,1276.684937,-386.146271,1283.31604,-244.021088,969.416626,-268.201874,811.358521,-314.562805,618.259949,-342.594452,423.875793,-395.428711,390.519135,-183.90239,379.826599
68,-184.803787,1276.506348,-385.669769,1283.694946,-243.861176,969.380859,-268.022949,811.329651,-314.442505,618.273254,-342.594879,423.900177,-395.433533,390.522858,-183.903732,379.821136
69,-184.295547,1276.319824,-385.145264,1284.085205,-243.68309,969.34021,-267.845093,811.300537,-314.323944,618.290039,-342.595734,423.924316,-395.438354,390.527405,-183.90741,379.823517
70,-183.740829,1276.126465,-384.573578,1284.481812,-243.482315,969.291809,-267.665222,811.272278,-314.204315,618.309631,-342.596161,423.948029,-395.44342,390.532654,-183.913452,379.832672
71,-183.14035,1275.927246,-383.955383,1284.880005,-243.254044,969.232483,-267.479706,811.245972,-314.080627,618.331177,-342.595551,423.971191,-395.449036,390.538666,-183.921585,379.846466
72,-182.495193,1275.722778,-383.291595,1285.276001,-242.993286,969.159485,-267.284668,811.22229,-313.949554,618.354126,-342.593018,423.993927,-395.455414,390.545441,-183.930984,379.861542
73,-181.806488,1275.51355,-382.582977,1285.666382,-242.695129,969.069885,-267.075623,811.201294,-313.807678,618.377502,-342.587952,424.016296,-395.462524,390.553101,-183.940399,379.873993
74,-181.075562,1275.300171,-381.830383,1286.047974,-242.355087,968.961914,-266.8479,811.181946,-313.65152,618.400452,-342.579803,424.038574,-395.470154,390.561646,-183.948364,379.879852
75,-180.303604,1275.082764,-381.034576,1286.418335,-241.969299,968.834656,-266.596375,811.163086,-313.477905,618.422363,-342.568146,424.061005,-395.477966,390.571014,-183.953369,379.875824
76,-179.491714,1274.861572,-380.196411,1286.775513,-241.53479,968.688477,-266.31604,811.142639,-313.283875,618.442627,-342.552704,424.083771,-395.485596,390.581116,-183.953995,379.859467
77,-178.640808,1274.636963,-379.316711,1287.117554,-241.049774,968.524902,-266.001892,811.118408,-313.067108,618.460938,-342.533356,424.107025,-395.492676,390.591522,-183.949203,379.829956
78,-177.751633,1274.408691,-378.396362,1287.443115,-240.513702,968.346924,-265.649658,811.088257,-312.825989,618.477112,-342.510223,424.130829,-395.498718,390.601898,-183.938431,379.787811
